rank,title,artist,genre,weeks_on_chart,date
49,As It Was,Harry Styles,Pop,3,2025-01-15
50,God's Plan,Drake,Hip-Hop/Rap,8,2025-01-15
51,Last Night,Morgan Wallen,Country,6,2025-01-15
52,Sunflower,Post Malone & Swae Lee,Pop,8,2025-01-15
53,Physical,Dua Lipa,Electronic/Dance,1,2025-01-15
54,Anti-Hero,Taylor Swift,Pop,6,2025-01-15
55,Essence,WizKid ft. Tems,R&B/Soul,3,2025-01-15
56,As It Was,Harry Styles,Pop,5,2025-01-15
57,The Box,Roddy Ricch,Hip-Hop/Rap,3,2025-01-15
58,Rich Flex,Drake & 21 Savage,R&B/Soul,5,2025-01-15
59,Después de la Playa,Bad Bunny,Latin,2,2025-01-15
60,Pink Venom,BLACKPINK,K-Pop,6,2025-01-15
61,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,4,2025-01-15
62,Hold Me Closer,Elton John & Britney Spears,Pop,2,2025-01-15
63,Flowers,Miley Cyrus,Pop,4,2025-01-15
64,"Going, Going, Gone",Luke Combs,Country,1,2025-01-15
65,Hold Me Closer,Elton John & Britney Spears,Pop,2,2025-01-15
66,Party,Bad Bunny & Rauw Alejandro,Latin,2,2025-01-15
67,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,3,2025-01-15
68,Sweet Child O' Mine,Guns N' Roses,Rock,7,2025-01-15
69,Rich Flex,Drake & 21 Savage,R&B/Soul,7,2025-01-15
70,Flowers,Miley Cyrus,Pop,8,2025-01-15
71,You Proof,Morgan Wallen,Country,4,2025-01-15
72,White Iverson,Post Malone,Alternative,4,2025-01-15
73,She Had Me At Heads Carolina,Cole Swindell,Country,5,2025-01-15
74,"Going, Going, Gone",Luke Combs,Country,3,2025-01-15
75,Til You Can't,Cody Johnson,Country,2,2025-01-15
76,Late Night Talking,Harry Styles,Pop,3,2025-01-15
77,CUFF IT,Beyoncé,R&B/Soul,4,2025-01-15
78,Savage,Megan Thee Stallion,Hip-Hop/Rap,4,2025-01-15
79,Late Night Talking,Harry Styles,Pop,8,2025-01-15
80,OMG,NewJeans,K-Pop,4,2025-01-15
81,Dynamite,BTS,K-Pop,3,2025-01-15
82,Sunflower,Post Malone & Swae Lee,Pop,8,2025-01-15
83,Deja Vu,Post Malone,Alternative,4,2025-01-15
84,La Corriente,Bad Bunny & Tony Dize,Latin,3,2025-01-15
85,La Corriente,Bad Bunny & Tony Dize,Latin,6,2025-01-15
86,Don't Start Now,Dua Lipa,Electronic/Dance,8,2025-01-15
87,Congratulations,Post Malone ft. Quavo,Pop,3,2025-01-15
88,Rockstar,DaBaby ft. Roddy Ricch,Hip-Hop/Rap,7,2025-01-15
89,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,6,2025-01-15
90,Después de la Playa,Bad Bunny,Latin,6,2025-01-15
91,Sunflower,Post Malone & Swae Lee,Pop,2,2025-01-15
92,As It Was,Harry Styles,Pop,2,2025-01-15
93,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,8,2025-01-15
94,White Iverson,Post Malone,Alternative,8,2025-01-15
95,Savage,Megan Thee Stallion,Hip-Hop/Rap,8,2025-01-15
96,Good Days,SZA,R&B/Soul,5,2025-01-15
97,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,4,2025-01-15
98,Shirt,SZA,R&B/Soul,5,2025-01-15
99,Smells Like Teen Spirit,Nirvana,Rock,5,2025-01-15
100,White Iverson,Post Malone,Alternative,5,2025-01-15
1,In Da Club,50 Cent,Hip-Hop/Rap,18,2025-01-22
2,New Rules,Dua Lipa,Electronic/Dance,17,2025-01-22
3,Circles,Post Malone,Alternative,16,2025-01-22
4,Ditto,NewJeans,K-Pop,25,2025-01-22
5,Sweet Child O' Mine,Guns N' Roses,Rock,22,2025-01-22
6,Hold On,Justin Bieber,Pop,13,2025-01-22
7,Sunflower,Post Malone & Swae Lee,Pop,15,2025-01-22
8,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,15,2025-01-22
9,Thought You Should Know,Morgan Wallen,Country,12,2025-01-22
10,CUFF IT,Beyoncé,R&B/Soul,20,2025-01-22
11,Shirt,SZA,R&B/Soul,12,2025-01-22
12,Flowers,Miley Cyrus,Pop,9,2025-01-22
13,Anti-Hero,Taylor Swift,Pop,14,2025-01-22
14,She Had Me At Heads Carolina,Cole Swindell,Country,10,2025-01-22
15,Hype Boy,NewJeans,K-Pop,4,2025-01-22
16,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,5,2025-01-22
17,Smells Like Teen Spirit,Nirvana,Rock,4,2025-01-22
18,Shut Down,BLACKPINK,K-Pop,13,2025-01-22
19,Hype Boy,NewJeans,K-Pop,3,2025-01-22
20,God's Plan,Drake,Hip-Hop/Rap,11,2025-01-22
21,Unholy,Sam Smith & Kim Petras,Pop,10,2025-01-22
22,Flowers,Miley Cyrus,Pop,5,2025-01-22
23,The Box,Roddy Ricch,Hip-Hop/Rap,15,2025-01-22
24,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,14,2025-01-22
25,Break My Soul,Beyoncé,Pop,11,2025-01-22
26,She Had Me At Heads Carolina,Cole Swindell,Country,9,2025-01-22
27,Blinding Lights,The Weeknd,Alternative,5,2025-01-22
28,She Had Me At Heads Carolina,Cole Swindell,Country,4,2025-01-22
29,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,8,2025-01-22
30,Ditto,NewJeans,K-Pop,11,2025-01-22
31,Bohemian Rhapsody,Queen,Rock,10,2025-01-22
32,Til You Can't,Cody Johnson,Country,15,2025-01-22
33,Andrea,Bad Bunny & Buscabulla,Latin,5,2025-01-22
34,Andrea,Bad Bunny & Buscabulla,Latin,10,2025-01-22
35,God's Plan,Drake,Hip-Hop/Rap,15,2025-01-22
36,Savage,Megan Thee Stallion,Hip-Hop/Rap,6,2025-01-22
37,If I Was a Cowboy,Miranda Lambert,Country,7,2025-01-22
38,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,6,2025-01-22
39,La Corriente,Bad Bunny & Tony Dize,Latin,4,2025-01-22
40,Essence,WizKid ft. Tems,R&B/Soul,4,2025-01-22
41,Ditto,NewJeans,K-Pop,9,2025-01-22
42,Vampire,Olivia Rodrigo,Pop,7,2025-01-22
43,You Proof,Morgan Wallen,Country,4,2025-01-22
44,Smells Like Teen Spirit,Nirvana,Rock,3,2025-01-22
45,Congratulations,Post Malone ft. Quavo,Pop,4,2025-01-22
46,Don't Start Now,Dua Lipa,Electronic/Dance,15,2025-01-22
47,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,15,2025-01-22
48,Anti-Hero,Taylor Swift,Pop,11,2025-01-22
49,New Rules,Dua Lipa,Electronic/Dance,8,2025-01-22
50,El Apagón,Bad Bunny,Latin,8,2025-01-22
51,CUFF IT,Beyoncé,R&B/Soul,4,2025-01-22
52,Late Night Talking,Harry Styles,Pop,5,2025-01-22
53,Sunflower,Post Malone & Swae Lee,Pop,1,2025-01-22
54,Physical,Dua Lipa,Electronic/Dance,8,2025-01-22
55,Hold On,Justin Bieber,Pop,8,2025-01-22
56,You Proof,Morgan Wallen,Country,7,2025-01-22
57,We Found Love,Rihanna ft. Calvin Harris,Electronic/Dance,6,2025-01-22
58,Til You Can't,Cody Johnson,Country,6,2025-01-22
59,Bohemian Rhapsody,Queen,Rock,6,2025-01-22
60,The Box,Roddy Ricch,Hip-Hop/Rap,5,2025-01-22
61,Essence,WizKid ft. Tems,R&B/Soul,5,2025-01-22
62,The Box,Roddy Ricch,Hip-Hop/Rap,6,2025-01-22
63,The Kind of Love We Make,Luke Combs,Country,7,2025-01-22
64,Savage,Megan Thee Stallion,Hip-Hop/Rap,4,2025-01-22
65,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,8,2025-01-22
66,Anti-Hero,Taylor Swift,Pop,1,2025-01-22
67,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,5,2025-01-22
68,Calm Down,Rema & Selena Gomez,R&B/Soul,6,2025-01-22
69,Tití Me Preguntó,Bad Bunny,Latin,8,2025-01-22
70,Dynamite,BTS,K-Pop,6,2025-01-22
71,El Apagón,Bad Bunny,Latin,4,2025-01-22
72,In Da Club,50 Cent,Hip-Hop/Rap,8,2025-01-22
73,Rich Flex,Drake & 21 Savage,R&B/Soul,8,2025-01-22
74,Smells Like Teen Spirit,Nirvana,Rock,7,2025-01-22
75,Thought You Should Know,Morgan Wallen,Country,3,2025-01-22
76,Shut Down,BLACKPINK,K-Pop,4,2025-01-22
77,Break My Heart,Dua Lipa,Electronic/Dance,7,2025-01-22
78,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,3,2025-01-22
79,Smells Like Teen Spirit,Nirvana,Rock,4,2025-01-22
80,As It Was,Harry Styles,Pop,1,2025-01-22
81,About Damn Time,Lizzo,Pop,3,2025-01-22
82,Master of Puppets,Metallica,Rock,7,2025-01-22
83,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,3,2025-01-22
84,Hold On,Justin Bieber,Pop,8,2025-01-22
85,Rockstar,DaBaby ft. Roddy Ricch,Hip-Hop/Rap,8,2025-01-22
86,CUFF IT,Beyoncé,R&B/Soul,3,2025-01-22
87,Vampire,Olivia Rodrigo,Pop,3,2025-01-22
88,About Damn Time,Lizzo,Pop,4,2025-01-22
89,Unholy,Sam Smith & Kim Petras,Pop,1,2025-01-22
90,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,8,2025-01-22
91,Physical,Dua Lipa,Electronic/Dance,7,2025-01-22
92,Seven Nation Army,The White Stripes,Rock,4,2025-01-22
93,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,7,2025-01-22
94,Vampire,Olivia Rodrigo,Pop,4,2025-01-22
95,As It Was,Harry Styles,Pop,8,2025-01-22
96,Rockstar,DaBaby ft. Roddy Ricch,Hip-Hop/Rap,2,2025-01-22
97,Bohemian Rhapsody,Queen,Rock,8,2025-01-22
98,Ditto,NewJeans,K-Pop,7,2025-01-22
99,Break My Soul,Beyoncé,Pop,2,2025-01-22
100,"Going, Going, Gone",Luke Combs,Country,3,2025-01-22
1,Thought You Should Know,Morgan Wallen,Country,13,2025-01-29
2,Lift Me Up,Rihanna,R&B/Soul,11,2025-01-29
3,Rich Flex,Drake & 21 Savage,R&B/Soul,24,2025-01-29
4,The Box,Roddy Ricch,Hip-Hop/Rap,12,2025-01-29
5,Andrea,Bad Bunny & Buscabulla,Latin,23,2025-01-29
6,In Da Club,50 Cent,Hip-Hop/Rap,21,2025-01-29
7,The Box,Roddy Ricch,Hip-Hop/Rap,14,2025-01-29
8,In Da Club,50 Cent,Hip-Hop/Rap,17,2025-01-29
9,Congratulations,Post Malone ft. Quavo,Pop,18,2025-01-29
10,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,12,2025-01-29
11,Rich Flex,Drake & 21 Savage,R&B/Soul,9,2025-01-29
12,Smells Like Teen Spirit,Nirvana,Rock,4,2025-01-29
13,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,14,2025-01-29
14,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,9,2025-01-29
15,Dynamite,BTS,K-Pop,13,2025-01-29
16,"Going, Going, Gone",Luke Combs,Country,13,2025-01-29
17,Shirt,SZA,R&B/Soul,15,2025-01-29
18,Rockstar,DaBaby ft. Roddy Ricch,Hip-Hop/Rap,7,2025-01-29
19,The Box,Roddy Ricch,Hip-Hop/Rap,3,2025-01-29
20,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,11,2025-01-29
21,As It Was,Harry Styles,Pop,11,2025-01-29
22,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,4,2025-01-29
23,If I Was a Cowboy,Miranda Lambert,Country,15,2025-01-29
24,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,9,2025-01-29
25,Running Up That Hill,Kate Bush,Rock,14,2025-01-29
26,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,10,2025-01-29
27,Anti-Hero,Taylor Swift,Pop,5,2025-01-29
28,Circles,Post Malone,Alternative,15,2025-01-29
29,Thought You Should Know,Morgan Wallen,Country,12,2025-01-29
30,The Box,Roddy Ricch,Hip-Hop/Rap,5,2025-01-29
31,Break My Heart,Dua Lipa,Electronic/Dance,12,2025-01-29
32,Break My Heart,Dua Lipa,Electronic/Dance,6,2025-01-29
33,Savage,Megan Thee Stallion,Hip-Hop/Rap,9,2025-01-29
34,Andrea,Bad Bunny & Buscabulla,Latin,7,2025-01-29
35,Good Days,SZA,R&B/Soul,3,2025-01-29
36,Running Up That Hill,Kate Bush,Rock,8,2025-01-29
37,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,6,2025-01-29
38,She Had Me At Heads Carolina,Cole Swindell,Country,6,2025-01-29
39,Hold On,Justin Bieber,Pop,13,2025-01-29
40,Pink Venom,BLACKPINK,K-Pop,9,2025-01-29
41,OMG,NewJeans,K-Pop,4,2025-01-29
42,Kill Bill,SZA,R&B/Soul,4,2025-01-29
43,Butter,BTS,K-Pop,6,2025-01-29
44,Pink Venom,BLACKPINK,K-Pop,10,2025-01-29
45,Kill Bill,SZA,R&B/Soul,8,2025-01-29
46,The Kind of Love We Make,Luke Combs,Country,8,2025-01-29
47,Vampire,Olivia Rodrigo,Pop,11,2025-01-29
48,Andrea,Bad Bunny & Buscabulla,Latin,4,2025-01-29
49,Die For You,The Weeknd,R&B/Soul,15,2025-01-29
50,Last Night,Morgan Wallen,Country,4,2025-01-29
51,Late Night Talking,Harry Styles,Pop,6,2025-01-29
52,El Apagón,Bad Bunny,Latin,1,2025-01-29
53,Break My Heart,Dua Lipa,Electronic/Dance,7,2025-01-29
54,Unholy,Sam Smith & Kim Petras,Pop,4,2025-01-29
55,Hold On,Justin Bieber,Pop,4,2025-01-29
56,The Box,Roddy Ricch,Hip-Hop/Rap,4,2025-01-29
57,I Fall Apart,Post Malone,Alternative,7,2025-01-29
58,Anti-Hero,Taylor Swift,Pop,5,2025-01-29
59,New Jeans,NewJeans,K-Pop,2,2025-01-29
60,About Damn Time,Lizzo,Pop,4,2025-01-29
61,Bad Guy,Billie Eilish,Alternative,1,2025-01-29
62,Cold Heart,Elton John & Dua Lipa,Electronic/Dance,4,2025-01-29
63,Circles,Post Malone,Alternative,2,2025-01-29
64,Break My Heart,Dua Lipa,Electronic/Dance,5,2025-01-29
65,Break My Heart,Dua Lipa,Electronic/Dance,5,2025-01-29
66,In Da Club,50 Cent,Hip-Hop/Rap,2,2025-01-29
67,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,4,2025-01-29
68,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,1,2025-01-29
69,As It Was,Harry Styles,Pop,8,2025-01-29
70,About Damn Time,Lizzo,Pop,1,2025-01-29
71,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,3,2025-01-29
72,The Box,Roddy Ricch,Hip-Hop/Rap,5,2025-01-29
73,Last Night,Morgan Wallen,Country,6,2025-01-29
74,New Jeans,NewJeans,K-Pop,3,2025-01-29
75,Wild as Her,Corey Kent,Country,4,2025-01-29
76,Deja Vu,Post Malone,Alternative,2,2025-01-29
77,Go Flex,Post Malone,Alternative,2,2025-01-29
78,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,1,2025-01-29
79,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,7,2025-01-29
80,Creep,Radiohead,Rock,2,2025-01-29
81,Good Days,SZA,R&B/Soul,7,2025-01-29
82,Bad Guy,Billie Eilish,Alternative,4,2025-01-29
83,If I Was a Cowboy,Miranda Lambert,Country,5,2025-01-29
84,Savage,Megan Thee Stallion,Hip-Hop/Rap,2,2025-01-29
85,Andrea,Bad Bunny & Buscabulla,Latin,3,2025-01-29
86,Me Porto Bonito,Bad Bunny & Chencho Corleone,Latin,3,2025-01-29
87,Ojitos Lindos,Bad Bunny & Bomba Estéreo,Latin,6,2025-01-29
88,CUFF IT,Beyoncé,R&B/Soul,7,2025-01-29
89,Hold On,Justin Bieber,Pop,6,2025-01-29
90,Thought You Should Know,Morgan Wallen,Country,3,2025-01-29
91,Congratulations,Post Malone ft. Quavo,Pop,2,2025-01-29
92,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,8,2025-01-29
93,Hold On,Justin Bieber,Pop,8,2025-01-29
94,Ditto,NewJeans,K-Pop,3,2025-01-29
95,About Damn Time,Lizzo,Pop,2,2025-01-29
96,Butter,BTS,K-Pop,6,2025-01-29
97,Anti-Hero,Taylor Swift,Pop,5,2025-01-29
98,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,3,2025-01-29
99,Bohemian Rhapsody,Queen,Rock,7,2025-01-29
100,Good Days,SZA,R&B/Soul,1,2025-01-29
1,Rockstar,DaBaby ft. Roddy Ricch,Hip-Hop/Rap,22,2025-02-05
2,Congratulations,Post Malone ft. Quavo,Pop,18,2025-02-05
3,Thought You Should Know,Morgan Wallen,Country,14,2025-02-05
4,Shut Down,BLACKPINK,K-Pop,22,2025-02-05
5,Zombie,The Cranberries,Rock,24,2025-02-05
6,Ditto,NewJeans,K-Pop,24,2025-02-05
7,Til You Can't,Cody Johnson,Country,24,2025-02-05
8,Physical,Dua Lipa,Electronic/Dance,14,2025-02-05
9,Después de la Playa,Bad Bunny,Latin,14,2025-02-05
10,Levitating,Dua Lipa,Electronic/Dance,14,2025-02-05
11,Kill Bill,SZA,R&B/Soul,15,2025-02-05
12,OMG,NewJeans,K-Pop,14,2025-02-05
13,Unholy,Sam Smith & Kim Petras,Pop,6,2025-02-05
14,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,3,2025-02-05
15,Lift Me Up,Rihanna,R&B/Soul,12,2025-02-05
16,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,5,2025-02-05
17,Sunflower,Post Malone & Swae Lee,Pop,6,2025-02-05
18,Rich Flex,Drake & 21 Savage,R&B/Soul,6,2025-02-05
19,Vampire,Olivia Rodrigo,Pop,11,2025-02-05
20,Blinding Lights,The Weeknd,Alternative,3,2025-02-05
21,Late Night Talking,Harry Styles,Pop,14,2025-02-05
22,Vampire,Olivia Rodrigo,Pop,9,2025-02-05
23,Hold On,Justin Bieber,Pop,14,2025-02-05
24,I Fall Apart,Post Malone,Alternative,4,2025-02-05
25,She Had Me At Heads Carolina,Cole Swindell,Country,7,2025-02-05
26,I Fall Apart,Post Malone,Alternative,9,2025-02-05
27,Master of Puppets,Metallica,Rock,11,2025-02-05
28,Me Porto Bonito,Bad Bunny & Chencho Corleone,Latin,9,2025-02-05
29,Essence,WizKid ft. Tems,R&B/Soul,4,2025-02-05
30,Lift Me Up,Rihanna,R&B/Soul,7,2025-02-05
31,IDGAF,Dua Lipa,Electronic/Dance,7,2025-02-05
32,Deja Vu,Post Malone,Alternative,9,2025-02-05
33,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,15,2025-02-05
34,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,6,2025-02-05
35,Rich Flex,Drake & 21 Savage,R&B/Soul,3,2025-02-05
36,Anti-Hero,Taylor Swift,Pop,6,2025-02-05
37,Flowers,Miley Cyrus,Pop,14,2025-02-05
38,IDGAF,Dua Lipa,Electronic/Dance,10,2025-02-05
39,Congratulations,Post Malone ft. Quavo,Pop,4,2025-02-05
40,Last Night,Morgan Wallen,Country,11,2025-02-05
41,Late Night Talking,Harry Styles,Pop,10,2025-02-05
42,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,10,2025-02-05
43,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,5,2025-02-05
44,Hype Boy,NewJeans,K-Pop,7,2025-02-05
45,CUFF IT,Beyoncé,R&B/Soul,14,2025-02-05
46,Después de la Playa,Bad Bunny,Latin,6,2025-02-05
47,Running Up That Hill,Kate Bush,Rock,4,2025-02-05
48,New Rules,Dua Lipa,Electronic/Dance,14,2025-02-05
49,Shirt,SZA,R&B/Soul,12,2025-02-05
50,Thought You Should Know,Morgan Wallen,Country,11,2025-02-05
51,Smells Like Teen Spirit,Nirvana,Rock,1,2025-02-05
52,Vampire,Olivia Rodrigo,Pop,1,2025-02-05
53,If I Was a Cowboy,Miranda Lambert,Country,1,2025-02-05
54,Go Flex,Post Malone,Alternative,2,2025-02-05
55,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,5,2025-02-05
56,Super Shy,NewJeans,K-Pop,2,2025-02-05
57,Late Night Talking,Harry Styles,Pop,1,2025-02-05
58,In Da Club,50 Cent,Hip-Hop/Rap,7,2025-02-05
59,Wild as Her,Corey Kent,Country,1,2025-02-05
60,ETA,NewJeans,K-Pop,8,2025-02-05
61,Vampire,Olivia Rodrigo,Pop,7,2025-02-05
62,New Jeans,NewJeans,K-Pop,4,2025-02-05
63,OMG,NewJeans,K-Pop,5,2025-02-05
64,Til You Can't,Cody Johnson,Country,5,2025-02-05
65,Vampire,Olivia Rodrigo,Pop,8,2025-02-05
66,Zombie,The Cranberries,Rock,5,2025-02-05
67,Go Flex,Post Malone,Alternative,2,2025-02-05
68,Hotel California,Eagles,Rock,2,2025-02-05
69,Party,Bad Bunny & Rauw Alejandro,Latin,3,2025-02-05
70,Running Up That Hill,Kate Bush,Rock,1,2025-02-05
71,Smells Like Teen Spirit,Nirvana,Rock,5,2025-02-05
72,OMG,NewJeans,K-Pop,4,2025-02-05
73,New Rules,Dua Lipa,Electronic/Dance,7,2025-02-05
74,Late Night Talking,Harry Styles,Pop,7,2025-02-05
75,Calm Down,Rema & Selena Gomez,R&B/Soul,2,2025-02-05
76,Levitating,Dua Lipa,Electronic/Dance,8,2025-02-05
77,The Kind of Love We Make,Luke Combs,Country,5,2025-02-05
78,Flowers,Miley Cyrus,Pop,6,2025-02-05
79,Pink Venom,BLACKPINK,K-Pop,3,2025-02-05
80,Dynamite,BTS,K-Pop,6,2025-02-05
81,Hold Me Closer,Elton John & Britney Spears,Pop,2,2025-02-05
82,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,4,2025-02-05
83,Hold Me Closer,Elton John & Britney Spears,Pop,2,2025-02-05
84,Sunflower,Post Malone & Swae Lee,Pop,8,2025-02-05
85,Savage,Megan Thee Stallion,Hip-Hop/Rap,7,2025-02-05
86,The Box,Roddy Ricch,Hip-Hop/Rap,5,2025-02-05
87,The Kind of Love We Make,Luke Combs,Country,4,2025-02-05
88,Hold Me Closer,Elton John & Britney Spears,Pop,2,2025-02-05
89,La Corriente,Bad Bunny & Tony Dize,Latin,7,2025-02-05
90,In Da Club,50 Cent,Hip-Hop/Rap,6,2025-02-05
91,Wild as Her,Corey Kent,Country,6,2025-02-05
92,IDGAF,Dua Lipa,Electronic/Dance,8,2025-02-05
93,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,3,2025-02-05
94,Essence,WizKid ft. Tems,R&B/Soul,6,2025-02-05
95,ETA,NewJeans,K-Pop,3,2025-02-05
96,Hold On,Justin Bieber,Pop,3,2025-02-05
97,Wonderwall,Oasis,Rock,3,2025-02-05
98,Good Days,SZA,R&B/Soul,3,2025-02-05
99,Don't Start Now,Dua Lipa,Electronic/Dance,2,2025-02-05
100,Butter,BTS,K-Pop,2,2025-02-05
1,White Iverson,Post Malone,Alternative,19,2025-02-12
2,Go Flex,Post Malone,Alternative,25,2025-02-12
3,Anti-Hero,Taylor Swift,Pop,16,2025-02-12
4,In Da Club,50 Cent,Hip-Hop/Rap,14,2025-02-12
5,About Damn Time,Lizzo,Pop,9,2025-02-12
6,As It Was,Harry Styles,Pop,18,2025-02-12
7,Blinding Lights,The Weeknd,Alternative,15,2025-02-12
8,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,13,2025-02-12
9,Butter,BTS,K-Pop,21,2025-02-12
10,The Box,Roddy Ricch,Hip-Hop/Rap,15,2025-02-12
11,Good Days,SZA,R&B/Soul,7,2025-02-12
12,Calm Down,Rema & Selena Gomez,R&B/Soul,4,2025-02-12
13,Sunflower,Post Malone & Swae Lee,Pop,3,2025-02-12
14,As It Was,Harry Styles,Pop,3,2025-02-12
15,The Box,Roddy Ricch,Hip-Hop/Rap,10,2025-02-12
16,Thought You Should Know,Morgan Wallen,Country,4,2025-02-12
17,The Kind of Love We Make,Luke Combs,Country,13,2025-02-12
18,Congratulations,Post Malone ft. Quavo,Pop,13,2025-02-12
19,Rich Flex,Drake & 21 Savage,R&B/Soul,6,2025-02-12
20,Cold Heart,Elton John & Dua Lipa,Electronic/Dance,3,2025-02-12
21,Dynamite,BTS,K-Pop,7,2025-02-12
22,Hold On,Justin Bieber,Pop,14,2025-02-12
23,Dynamite,BTS,K-Pop,6,2025-02-12
24,Hold On,Justin Bieber,Pop,15,2025-02-12
25,Hold Me Closer,Elton John & Britney Spears,Pop,13,2025-02-12
26,Sweet Child O' Mine,Guns N' Roses,Rock,11,2025-02-12
27,Hold Me Closer,Elton John & Britney Spears,Pop,12,2025-02-12
28,She Had Me At Heads Carolina,Cole Swindell,Country,11,2025-02-12
29,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,12,2025-02-12
30,Unholy,Sam Smith & Kim Petras,Pop,6,2025-02-12
31,The Kind of Love We Make,Luke Combs,Country,4,2025-02-12
32,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,5,2025-02-12
33,Til You Can't,Cody Johnson,Country,14,2025-02-12
34,Savage,Megan Thee Stallion,Hip-Hop/Rap,8,2025-02-12
35,New Jeans,NewJeans,K-Pop,6,2025-02-12
36,Rich Flex,Drake & 21 Savage,R&B/Soul,9,2025-02-12
37,OMG,NewJeans,K-Pop,13,2025-02-12
38,Vampire,Olivia Rodrigo,Pop,3,2025-02-12
39,If I Was a Cowboy,Miranda Lambert,Country,15,2025-02-12
40,Andrea,Bad Bunny & Buscabulla,Latin,8,2025-02-12
41,Efecto,Bad Bunny,Latin,8,2025-02-12
42,Break My Heart,Dua Lipa,Electronic/Dance,8,2025-02-12
43,Tití Me Preguntó,Bad Bunny,Latin,10,2025-02-12
44,Party,Bad Bunny & Rauw Alejandro,Latin,4,2025-02-12
45,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,3,2025-02-12
46,Thought You Should Know,Morgan Wallen,Country,5,2025-02-12
47,Late Night Talking,Harry Styles,Pop,10,2025-02-12
48,Hold On,Justin Bieber,Pop,6,2025-02-12
49,God's Plan,Drake,Hip-Hop/Rap,8,2025-02-12
50,Wild as Her,Corey Kent,Country,7,2025-02-12
51,Hold Me Closer,Elton John & Britney Spears,Pop,2,2025-02-12
52,Last Night,Morgan Wallen,Country,4,2025-02-12
53,Circles,Post Malone,Alternative,6,2025-02-12
54,Cold Heart,Elton John & Dua Lipa,Electronic/Dance,4,2025-02-12
55,Deja Vu,Post Malone,Alternative,3,2025-02-12
56,Die For You,The Weeknd,R&B/Soul,5,2025-02-12
57,Blinding Lights,The Weeknd,Alternative,2,2025-02-12
58,Hold Me Closer,Elton John & Britney Spears,Pop,6,2025-02-12
59,Seven Nation Army,The White Stripes,Rock,3,2025-02-12
60,Break My Soul,Beyoncé,Pop,8,2025-02-12
61,Master of Puppets,Metallica,Rock,8,2025-02-12
62,About Damn Time,Lizzo,Pop,8,2025-02-12
63,Good Days,SZA,R&B/Soul,7,2025-02-12
64,Vampire,Olivia Rodrigo,Pop,8,2025-02-12
65,Savage,Megan Thee Stallion,Hip-Hop/Rap,5,2025-02-12
66,Master of Puppets,Metallica,Rock,4,2025-02-12
67,Party,Bad Bunny & Rauw Alejandro,Latin,7,2025-02-12
68,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,7,2025-02-12
